"","name","iso_a3","currency_code","local_price","dollar_ex","GDP_dollar","date"
"379","Pakistan","PAK","PKR",140,70.9,NA,"2008-06-01"
"380","Peru","PER","PEN",9.5,2.84,NA,"2008-06-01"
"381","Philippines","PHL","PHP",87,44.485,NA,"2008-06-01"
"382","Poland","POL","PLN",7,2.03145,NA,"2008-06-01"
"383","Russia","RUS","RUB",59,23.2336,NA,"2008-06-01"
"384","Saudi Arabia","SAU","SAR",10,3.74955,NA,"2008-06-01"
"385","Singapore","SGP","SGD",3.95,1.35275,NA,"2008-06-01"
"386","South Africa","ZAF","ZAR",16.95,7.56325,NA,"2008-06-01"
"387","South Korea","KOR","KRW",3200,1018.05,NA,"2008-06-01"
"388","Sri Lanka","LKA","LKR",210,107.55,NA,"2008-06-01"
"389","Sweden","SWE","SEK",38,5.96085,NA,"2008-06-01"
"390","Switzerland","CHE","CHF",6.5,1.02215,NA,"2008-06-01"
"391","Taiwan","TWN","TWD",75,30.3625,NA,"2008-06-01"
